Keyword,Title,Date,Location,Icon,Link
,Legacy Lacrosse Box Tourney,"Feb 23, 2019","Bridgewater, MA",,Public/Results/Tournament.aspx?IDTournament=h201902220231147827f2a314cb30b4e
,3d New England Spring 7v7,"Mar 24, 2019","West Roxbury, MA",,Public/Results/Tournament.aspx?IDTournament=h20190318142914185955bff5f852148
,CELL Winter Session,"Dec 2, 2018 - Feb 10, 2019","Acton, MA",,Public/Results/Tournament.aspx?IDTournament=h20181125214548721f5a252f81ea945
,Glastonbury LAXFEST Boys JR & SR,"May 4 - 5, 2019","Glastonbury, CT",,Public/Results/Tournament.aspx?IDTournament=h20190429172015169ef3f8722513d44
,South Windsor Robin Klemba Bobcat Blast,"Apr 27, 2019","South Windsor, CT",,Public/Results/Tournament.aspx?IDTournament=h20190422175940624b0f6d099b6d44d
,Longmeadow Girls Lacrosse Jamboree,"May 4, 2019","Longmeadow, MA",,Public/Results/Tournament.aspx?IDTournament=h201904261818446939aa68a97ee3849
,3X NE - CT Sportsplex 2019,"Feb 18, 2019","North Branford, CT",,Public/Results/Tournament.aspx?IDTournament=h201902152227117316aa49b3d50c746
,2019 Shamrock Shootout,"Mar 16, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h201902201435234829cfbfa7271ab45
,2019 SPRING LAX JAM BOYS TOWN & GIRLS,"Apr 20, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190403144258324aa0779ecfb774c
,2019 SPRING LAX JAM BOYS TRAVEL,"Apr 27, 2019","Holtsville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190418145932829dc1012cd06a44b
,2019 Ken Vilar Memorial Jamboree,"May 18, 2019","Southington, CT",,Public/Results/Tournament.aspx?IDTournament=h20190218175113421ea82800b287046
,2019 10th Annual Christian Koehler Lacrosse Tournament,"May 11, 2019","East Islip, NY",,Public/Results/Tournament.aspx?IDTournament=h20190129233554017b128a4b71eb34a
,King of the Hill,"May 4, 2019","Dix Hills, NY",,Public/Results/Tournament.aspx?IDTournament=h201904230006555870f8c6908e4874a
,Blatant Town Cup,"Apr 13, 2019","Huntington Station, NY",,Public/Results/Tournament.aspx?IDTournament=h201811131658395511d4b8324d4894f
,USBOXLA Island Box Presidents Cup,"Feb 16, 2019","Bethpage, NY",,Public/Results/Tournament.aspx?IDTournament=h201901232247303961f17ae5a733b4b
,South Salem Spring Shootout,"May 4 - 5, 2019","Norwalk, CT • South Salem, NY",,Public/Results/Tournament.aspx?IDTournament=h2019041617113525210924aedc10142
,4th Annual Penguin Invitational Sponsored by Team  Igloo,"May 4, 2019","Brookville, NY",,Public/Results/Tournament.aspx?IDTournament=h20190104141449505e5b03bb143b246
,Ice Breaker Lacrosse Tournament 2019,"Mar 30 - Apr 7, 2019","Brookfield, CT",,Public/Results/Tournament.aspx?IDTournament=h201810171834536175a5cfff4a2434e
,Blatant Spring Jam 2019,"May 18 - 19, 2019","Greenvale, NY • Old Westbury, NY",,Public/Results/Tournament.aspx?IDTournament=h2018110214371846286e4260d47164f
,Ronald McDonald Lacrosse Tourney,"Mar 31, 2019","stamford, CT",,Public/Results/Tournament.aspx?IDTournament=h20190228141501206a4d1f0f5d69144
,Trilogy MetLife Stadium Classic 2019,"Apr 14, 2019","East Rutherford, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190408131206027c3a4f996871045
,O2 Skyline Tournament Youth Division,"Feb 9 - 10, 2019","North Arlington, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190204183016255699da5932a374d
,Trilogy Winter League (2018-19),"Dec 1, 2018 - Feb 10, 2019","Clifton, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181119185139094481cb637b0e44d
,MLK Lacrosse Invitational,"Jan 14, 2017 - Jan 14, 2020","Hightstown, NJ • Wayne, NJ",,Public/Results/Tournament.aspx?IDTournament=h201612020900577398279a77880d046
,Turf City Winter Indoor League 2018/19,"Dec 1, 2018 - Feb 10, 2019","Wayne, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181126163738605a34f1327999541
,2019 Laker Lightning,"May 11, 2019","Boonton, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190501164731900aadffaffc9b14b
,Patriot Box Lacrosse League 2018-2019,"Dec 1, 2018 - Feb 10, 2019","Morristown, NJ",,Public/Results/Tournament.aspx?IDTournament=h20181108162343551f8c3d8658e6b44
,Lax Luau 2019 (old),"May 5, 2019","West Windsor, NJ",,Public/Results/Tournament.aspx?IDTournament=h2019042818572132764ff3ecffba746
,Lax Luau 2019,"May 5, 2019","West Windsor, NJ",,Public/Results/Tournament.aspx?IDTournament=h2019043013155297069b56350e25547
,Spring Thaw,"Apr 7, 2019","Princeton, NJ",,Public/Results/Tournament.aspx?IDTournament=h2019040215575589339ed7dbffc5040
,South Jersey Spirit Games,"Apr 7, 2019","Medford, NJ",,Public/Results/Tournament.aspx?IDTournament=h20190213130815584c7a50289b7bb4d
,Deuces Wild Junior Tournament,"Apr 7, 2019","Lawrence Twp., NJ",,Public/Results/Tournament.aspx?IDTournament=h201903182003046830e990c74849946
,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",,Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944
,Charity Lacrosse Classic,"Mar 24, 2019","Flanders, NJ",,Public/Results/Tournament.aspx?IDTournament=h201903041826257057dad092242af4d
,Moorestown Lacrosse Festival 2019,"May 18, 2019","Moorestown, NJ",,Public/Results/Tournament.aspx?IDTournament=h201805150234095583ee856d31e3d4c
,Victory Winter Championship 2019,"Feb 16, 2019","Feasterville-Trevose, PA",,Public/Results/Tournament.aspx?IDTournament=h2019011820305215474b030b225ac48
